layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
16,mlp,1.292743e-03,1.436911e-03,5.642110e-05,4.677227e-05,9.021149e-02,7.450577e-02
17,input_layernorm,1.053326e-03,1.153907e-03,1.053326e-03,7.899710e-05,2.069730e+00,1.261227e-01
17,self_attn.q_proj,1.153907e-03,7.197174e-04,7.899710e-05,1.495533e-04,1.261227e-01,2.370833e-01
17,self_attn.k_proj,1.153907e-03,6.502493e-04,7.899710e-05,1.582747e-04,1.261227e-01,2.499685e-01
17,self_attn.v_proj,1.153907e-03,1.158899e-03,7.899710e-05,8.063046e-05,1.261227e-01,1.284669e-01
17,self_attn.o_proj,1.722394e-03,1.796085e-03,2.788508e-05,3.054394e-05,4.403945e-02,4.786395e-02
17,post_attention_layernorm,1.174050e-03,1.274599e-03,1.174497e-03,5.766863e-05,2.240222e+00,9.242194e-02
17,mlp.gate_proj,1.274599e-03,9.137540e-04,5.766863e-05,1.227455e-04,9.242194e-02,1.954120e-01
17,mlp.up_proj,1.274599e-03,1.101399e-03,5.766863e-05,1.138145e-04,9.242194e-02,1.818969e-01
17,mlp.down_proj,1.387048e-03,1.429025e-03,3.559583e-05,4.373172e-05,5.652739e-02,6.932752e-02
17,mlp,1.274599e-03,1.429025e-03,5.766863e-05,4.373172e-05,9.242194e-02,6.932752e-02
18,input_layernorm,1.231049e-03,1.158580e-03,1.231049e-03,8.243432e-05,2.334860e+00,1.314354e-01
18,self_attn.q_proj,1.158580e-03,7.061113e-04,8.243432e-05,1.512673e-04,1.314354e-01,2.392716e-01
18,self_attn.k_proj,1.158580e-03,6.571010e-04,8.243432e-05,1.566497e-04,1.314354e-01,2.482590e-01
18,self_attn.v_proj,1.158580e-03,1.156807e-03,8.243432e-05,8.808517e-05,1.314354e-01,1.399009e-01
18,self_attn.o_proj,1.922385e-03,1.936701e-03,2.633095e-05,2.906361e-05,4.275472e-02,4.721316e-02
18,post_attention_layernorm,1.388330e-03,1.258118e-03,1.389092e-03,5.989482e-05,2.602079e+00,9.596515e-02
18,mlp.gate_proj,1.258118e-03,9.350544e-04,5.989482e-05,1.285038e-04,9.596515e-02,2.043063e-01
18,mlp.up_proj,1.258118e-03,1.114007e-03,5.989482e-05,1.176831e-04,9.596515e-02,1.877555e-01
18,mlp.down_proj,1.370157e-03,1.393111e-03,3.897468e-05,4.763577e-05,6.149029e-02,7.486991e-02
18,mlp,1.258118e-03,1.393111e-03,5.989482e-05,4.763577e-05,9.596515e-02,7.486991e-02
19,input_layernorm,1.427975e-03,1.146122e-03,1.427975e-03,8.033753e-05,2.656668e+00,1.286575e-01
19,self_attn.q_proj,1.146122e-03,7.257594e-04,8.033753e-05,1.459748e-04,1.286575e-01,2.330563e-01
19,self_attn.k_proj,1.146122e-03,6.588558e-04,8.033753e-05,1.580741e-04,1.286575e-01,2.501305e-01
19,self_attn.v_proj,1.146122e-03,1.109748e-03,8.033753e-05,8.662118e-05,1.286575e-01,1.382941e-01
19,self_attn.o_proj,1.711278e-03,1.756536e-03,2.720359e-05,3.097511e-05,4.457527e-02,5.065195e-02
19,post_attention_layernorm,1.568149e-03,1.236007e-03,1.568935e-03,6.155213e-05,2.863699e+00,9.858905e-02
19,mlp.gate_proj,1.236007e-03,9.630360e-04,6.155213e-05,1.313082e-04,9.858905e-02,2.093138e-01
19,mlp.up_proj,1.236007e-03,1.097815e-03,6.155213e-05,1.206642e-04,9.858905e-02,1.925188e-01
19,mlp.down_proj,1.377921e-03,1.395211e-03,4.331251e-05,5.236350e-05,6.847802e-02,8.271333e-02
19,mlp,1.236007e-03,1.395211e-03,6.155213e-05,5.236350e-05,9.858905e-02,8.271333e-02
20,input_layernorm,1.698480e-03,1.161728e-03,1.698480e-03,8.104009e-05,3.176268e+00,1.296901e-01
20,self_attn.q_proj,1.161728e-03,7.484033e-04,8.104009e-05,1.531212e-04,1.296901e-01,2.441892e-01
20,self_attn.k_proj,1.161728e-03,6.907161e-04,8.104009e-05,1.608810e-04,1.296901e-01,2.557532e-01
20,self_attn.v_proj,1.161728e-03,1.141478e-03,8.104009e-05,8.691944e-05,1.296901e-01,1.390719e-01
20,self_attn.o_proj,1.876681e-03,1.828900e-03,2.682972e-05,3.215837e-05,4.540942e-02,5.413196e-02
20,post_attention_layernorm,1.766876e-03,1.246928e-03,1.768302e-03,6.329777e-05,3.291572e+00,1.017850e-01
20,mlp.gate_proj,1.246928e-03,9.628915e-04,6.329777e-05,1.340322e-04,1.017850e-01,2.152084e-01
20,mlp.up_proj,1.246928e-03,1.100171e-03,6.329777e-05,1.237665e-04,1.017850e-01,1.988385e-01
20,mlp.down_proj,1.435285e-03,1.436349e-03,4.368033e-05,5.313362e-05,6.945124e-02,8.434013e-02
20,mlp,1.246928e-03,1.436349e-03,6.329777e-05,5.313362e-05,1.017850e-01,8.434013e-02
21,input_layernorm,1.766820e-03,1.176490e-03,1.766820e-03,8.567013e-05,3.292308e+00,1.379623e-01
21,self_attn.q_proj,1.176490e-03,7.714281e-04,8.567013e-05,1.529221e-04,1.379623e-01,2.454968e-01
21,self_attn.k_proj,1.176490e-03,7.010826e-04,8.567013e-05,1.584580e-04,1.379623e-01,2.529364e-01
21,self_attn.v_proj,1.176490e-03,1.173851e-03,8.567013e-05,9.498899e-05,1.379623e-01,1.528182e-01
21,self_attn.o_proj,1.942790e-03,1.867144e-03,2.563105e-05,2.996980e-05,4.165902e-02,4.863807e-02
21,post_attention_layernorm,1.752929e-03,1.257105e-03,1.754215e-03,6.559932e-05,3.337862e+00,1.057663e-01
21,mlp.gate_proj,1.257105e-03,1.004082e-03,6.559932e-05,1.399151e-04,1.057663e-01,2.254499e-01
21,mlp.up_proj,1.257105e-03,1.125873e-03,6.559932e-05,1.280972e-04,1.057663e-01,2.060529e-01
21,mlp.down_proj,1.418306e-03,1.426199e-03,4.719863e-05,5.702745e-05,7.552001e-02,9.102504e-02
21,mlp,1.257105e-03,1.426199e-03,6.559932e-05,5.702745e-05,1.057663e-01,9.102504e-02
22,input_layernorm,1.725027e-03,1.190354e-03,1.725027e-03,8.784265e-05,3.290109e+00,1.417851e-01
22,self_attn.q_proj,1.190354e-03,7.867793e-04,8.784265e-05,1.619175e-04,1.417851e-01,2.605713e-01
22,self_attn.k_proj,1.190354e-03,7.324912e-04,8.784265e-05,1.685344e-04,1.417851e-01,2.699899e-01
22,self_attn.v_proj,1.190354e-03,1.188244e-03,8.784265e-05,9.852559e-05,1.417851e-01,1.589677e-01
22,self_attn.o_proj,2.024663e-03,2.429298e-03,3.139281e-05,5.147182e-05,5.094889e-02,8.290605e-02
22,post_attention_layernorm,1.822900e-03,1.278620e-03,1.825550e-03,6.821591e-05,3.468853e+00,1.102519e-01
22,mlp.gate_proj,1.278620e-03,1.025475e-03,6.821591e-05,1.451115e-04,1.102519e-01,2.346339e-01
22,mlp.up_proj,1.278620e-03,1.151403e-03,6.821591e-05,1.329634e-04,1.102519e-01,2.144755e-01
22,mlp.down_proj,1.497241e-03,1.495699e-03,4.957815e-05,5.947994e-05,7.916527e-02,9.494280e-02
22,mlp,1.278620e-03,1.495699e-03,6.821591e-05,5.947994e-05,1.102519e-01,9.494280e-02
23,input_layernorm,1.752566e-03,1.231851e-03,1.752566e-03,9.402121e-05,3.352889e+00,1.522518e-01
23,self_attn.q_proj,1.231851e-03,7.915036e-04,9.402121e-05,1.613514e-04,1.522518e-01,2.595083e-01
